Trials	Attacker Sampling	Attacker Sampling 2	Attacker Sampling 3	Attacker Sampling 4
0	6586	7056	7100	6715
1	7082	7245	7044	6957
2	7261	7255	7675	7537
3	6790	6748	7209	7297
4	7058	6551	6816	6536
5	7244	7139	6752	6992
6	7296	7109	7234	7427
7	7205	7353	6848	7120
8	7154	6879	7400	6782
9	7215	7480	7541	7230
10	7268	7319	7175	7408
11	7064	6965	6465	6946
12	6697	6955	6726	6830
13	6253	6214	6327	6253
14	7011	6983	6456	6935
15	6926	6547	6504	6889
16	6384	6373	6659	7453
17	6743	6224	6431	6310
18	6706	6838	6286	6219
19	6752	7058	6716	6490
20	6211	6361	6207	6308
21	6568	6525	6384	6078
22	6635	6725	6796	6722
23	6084	6190	6858	6857
24	6465	6336	6617	6800
25	6946	7019	6703	6878
26	8173	8340	8147	8220
27	6496	6921	6884	7012
28	6321	6683	6921	7617
29	6615	6269	6108	6463
30	6662	6911	6649	6800
31	6459	6952	6714	6798
32	7044	6703	6922	8011
33	6808	6476	6310	6393
34	6893	6760	6533	6367
35	6159	6913	6972	6793
36	6660	6015	6288	6892
37	6652	7091	6276	6597
38	8480	8817	9079	8590
39	5744	6359	6720	6680
40	6499	6227	6720	6674
41	8363	7484	7694	7956
42	8303	8075	7418	7316
43	6932	6925	6835	6707
44	6182	6210	6586	7211
45	5940	5602	5949	6253
46	6101	6297	5998	5957
47	5976	5735	6162	6272
48	6234	5819	6264	6624
49	6331	6492	6122	5955
50	6414	6444	6247	6563
51	5869	6267	6419	6475
52	6356	5921	6109	6249
53	6455	6298	6081	5888
54	6362	5770	6174	6447
55	6262	6096	5653	5436
56	6172	6394	6337	5855
57	5623	5784	6444	6286
58	6234	5959	6305	6512
59	6525	6416	6004	5925
60	6347	6429	6163	6298
61	6307	6109	7097	6963
62	5972	5958	6198	5785
63	6281	6348	5967	6003
64	5832	6136	6528	6518
65	5912	5747	6430	6481
66	6646	6500	6159	6377
67	6358	6593	6422	6469
68	6257	5999	6346	6783
69	6153	6705	5871	6222
70	6606	6716	6624	6198
71	5967	6042	6228	6422
72	6457	5932	6048	6740
73	7689	7578	6948	7018
74	7304	7123	7248	7225
75	7865	7145	7949	8021
76	7005	6779	7246	7805
77	5943	6308	5845	5470
78	6419	6206	5867	6106
79	6469	6058	6546	6268
80	6196	6289	6311	6406
81	6161	6195	6323	5703
82	6339	6147	6417	6334
83	5911	6166	6355	6335
84	6783	6543	6468	5885
85	6236	6421	5776	6044
86	6169	6148	6861	6222
87	5762	5746	5738	5919
88	6358	6338	6176	6019
89	6326	6242	6484	6390
90	6158	6509	6573	6690
91	6344	6283	5773	5912
92	6739	6227	6406	6235
93	5887	5701	6373	6362
94	6027	6147	6234	5943
95	6594	6251	6072	5819
96	5972	6273	6606	6701
97	6117	6084	6481	6730
98	6555	6447	6391	6386
99	6767	7152	6764	6507
