% of program	mcf	pr	llm	redis
0	176	174	171	172
1	177	179	173	189
2	185	184	179	184
3	179	182	189	193
4	184	185	186	188
5	192	186	191	183
6	194	188	188	195
7	195	191	185	195
8	189	193	192	196
9	196	194	188	195
10	198	197	191	205
11	194	194	199	190
12	201	198	194	197
13	199	194	202	197
14	206	195	201	197
15	206	208	203	199
16	197	193	202	194
17	205	205	203	204
18	204	203	213	205
19	203	199	208	203
20	205	212	204	203
21	213	208	204	207
22	210	208	209	205
23	209	212	208	202
24	203	200	207	203
25	207	211	202	212
26	203	209	204	205
27	201	200	202	213
28	208	221	202	210
29	201	214	201	218
30	208	210	201	201
31	207	208	207	219
32	205	208	211	210
33	206	218	205	210
34	211	221	211	211
35	207	221	208	213
36	217	220	210	216
37	208	206	209	207
38	213	221	197	216
39	207	211	213	211
40	221	218	217	217
41	214	216	203	224
42	205	220	205	206
43	218	218	205	209
44	206	213	206	214
45	210	220	209	220
46	208	220	212	214
47	211	231	214	215
48	210	226	219	213
49	212	212	214	218
50	207	216	209	211
51	209	213	211	220
52	217	212	208	221
53	211	218	212	223
54	214	211	210	227
55	225	212	208	224
56	213	216	210	220
57	208	220	203	225
58	206	213	215	214
59	214	226	214	223
60	214	222	211	222
61	206	228	209	225
62	215	214	209	228
63	212	214	212	218
64	226	214	214	219
65	223	226	206	215
66	212	218	211	221
67	210	216	220	221
68	213	220	207	218
69	218	214	219	216
70	213	220	228	229
71	209	237	204	217
72	210	216	211	218
73	212	219	218	223
74	213	219	209	227
75	208	223	209	236
76	217	222	214	223
77	221	215	207	227
78	213	215	214	226
79	210	232	211	223
80	216	216	214	232
81	208	217	217	222
82	216	228	214	226
83	213	217	210	225
84	211	220	211	234
85	209	221	209	222
86	219	218	218	227
87	214	214	226	223
88	215	220	214	224
89	212	225	214	219
90	216	219	218	232
91	223	229	212	226
92	223	212	218	234
93	211	218	217	221
94	215	213	210	229
95	217	222	212	235
96	219	215	209	229
97	214	217	214	231
98	234	228	223	224
99	215	221	215	216
100	218	223	217	230
